timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764045536021,408,POST - Login,200,OK,AI Agent Thread Group 1-1,text,true,,819,345,9,9,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,404,0,125
1764045536272,287,POST - Login,200,OK,AI Agent Thread Group 1-2,text,true,,819,345,9,9,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,287,0,91
1764045536571,352,POST - Login,200,OK,AI Agent Thread Group 1-3,text,true,,819,345,10,10,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,351,0,90
1764045536872,286,POST - Login,200,OK,AI Agent Thread Group 1-4,text,true,,819,345,11,11,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,286,0,93
1764045537172,311,POST - Login,200,OK,AI Agent Thread Group 1-5,text,true,,819,345,12,12,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,311,0,88
1764045537471,321,POST - Login,200,OK,AI Agent Thread Group 1-6,text,true,,819,345,13,13,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,321,0,89
1764045537770,287,POST - Login,200,OK,AI Agent Thread Group 1-7,text,true,,819,345,14,14,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,287,0,88
1764045538073,276,POST - Login,200,OK,AI Agent Thread Group 1-8,text,true,,819,345,15,15,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,276,0,86
1764045538452,90,POST - Create Trip Plan,404,Not Found,AI Agent Thread Group 1-1,text,false,,178,633,16,16,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/api/concierge/plan,89,0,0
1764045538372,273,POST - Login,200,OK,AI Agent Thread Group 1-9,text,true,,819,345,16,16,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,272,0,92
1764045538564,90,POST - Create Trip Plan,404,Not Found,AI Agent Thread Group 1-2,text,false,,178,633,16,16,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/api/concierge/plan,90,0,0
1764045538667,272,POST - Login,200,OK,AI Agent Thread Group 1-10,text,true,,819,345,17,17,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,272,0,91
1764045538931,85,POST - Create Trip Plan,404,Not Found,AI Agent Thread Group 1-3,text,false,,178,633,17,17,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/api/concierge/plan,85,0,0
1764045539166,90,POST - Create Trip Plan,404,Not Found,AI Agent Thread Group 1-4,text,false,,178,633,18,18,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/api/concierge/plan,89,0,0
1764045538972,284,POST - Login,200,OK,AI Agent Thread Group 1-11,text,true,,819,345,18,18,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,284,0,91
1764045539273,293,POST - Login,200,OK,AI Agent Thread Group 1-12,text,true,,819,345,19,19,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,293,0,90
1764045539490,89,POST - Create Trip Plan,404,Not Found,AI Agent Thread Group 1-5,text,false,,178,633,19,19,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/api/concierge/plan,89,0,0
1764045539567,313,POST - Login,200,OK,AI Agent Thread Group 1-13,text,true,,819,345,20,20,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,313,0,85
1764045539799,90,POST - Create Trip Plan,404,Not Found,AI Agent Thread Group 1-6,text,false,,178,633,20,20,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/api/concierge/plan,90,0,0
1764045540064,88,POST - Create Trip Plan,404,Not Found,AI Agent Thread Group 1-7,text,false,,178,633,21,21,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/api/concierge/plan,88,0,0
1764045539867,289,POST - Login,200,OK,AI Agent Thread Group 1-14,text,true,,819,345,21,21,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,289,0,103
