timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764046158947,1020,POST - Login,200,OK,Authentication Thread Group 1-272,text,true,,819,308,300,300,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,1020,0,0
1764046156151,3855,GET - Auth Check,502,Bad Gateway,Authentication Thread Group 1-30,text,false,,277,213,300,300,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/check,3855,0,0
1764046156710,3296,GET - Auth Check,502,Bad Gateway,Authentication Thread Group 1-295,text,false,,277,213,300,300,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/check,3296,0,0
1764046156986,3020,GET - Auth Check,502,Bad Gateway,Authentication Thread Group 1-3,text,false,,277,213,300,300,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/check,3020,0,0
1764046138178,21827,POST - Login,200,OK,Authentication Thread Group 1-34,text,true,,819,308,300,300,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,21827,0,0
1764046137743,22265,POST - Login,200,OK,Authentication Thread Group 1-141,text,true,,819,308,300,300,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,22265,0,0
1764046140357,19653,POST - Login,200,OK,Authentication Thread Group 1-74,text,true,,819,308,300,300,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,19653,0,0
1764046140178,19834,POST - Login,200,OK,Authentication Thread Group 1-66,text,true,,819,308,300,300,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,19834,0,0
1764046141909,18117,POST - Login,200,OK,Authentication Thread Group 1-207,text,true,,819,308,300,300,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,18117,0,0
1764046141682,18345,POST - Login,200,OK,Authentication Thread Group 1-18,text,true,,819,308,300,300,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,18345,0,0
1764046140841,19191,POST - Login,200,OK,Authentication Thread Group 1-234,text,true,,819,308,300,300,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,19191,0,0
1764046141362,18672,POST - Login,200,OK,Authentication Thread Group 1-250,text,true,,819,308,300,300,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,18672,0,0
1764046139515,20521,POST - Login,200,OK,Authentication Thread Group 1-296,text,true,,819,308,300,300,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,20521,0,0
1764046139430,20606,POST - Login,200,OK,Authentication Thread Group 1-217,text,true,,819,308,300,300,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,20606,0,0
1764046139428,20615,POST - Login,200,OK,Authentication Thread Group 1-65,text,true,,819,308,300,300,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,20615,0,0
1764046138350,21692,POST - Login,200,OK,Authentication Thread Group 1-179,text,true,,819,308,300,300,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,21692,0,0
1764046138173,21870,POST - Login,200,OK,Authentication Thread Group 1-36,text,true,,819,308,300,300,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,21870,0,0
1764046137952,22095,POST - Login,200,OK,Authentication Thread Group 1-293,text,true,,819,308,300,300,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,22095,0,0
1764046137952,22095,POST - Login,200,OK,Authentication Thread Group 1-288,text,true,,819,308,300,300,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,22095,0,0
1764046138351,21699,POST - Login,200,OK,Authentication Thread Group 1-152,text,true,,819,308,300,300,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,21699,0,0
1764046138579,21475,POST - Login,200,OK,Authentication Thread Group 1-286,text,true,,819,308,300,300,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,21475,0,0
