timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764043124665,565,POST - Login,200,OK,Booking Thread Group 1-1,text,true,,819,345,3,3,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,560,0,147
1764043125211,277,POST - Login,200,OK,Booking Thread Group 1-2,text,true,,819,345,4,4,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,277,0,91
1764043125809,327,POST - Login,200,OK,Booking Thread Group 1-3,text,true,,819,345,5,5,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,327,0,97
1764043126251,437,GET - Search Properties,200,OK,Booking Thread Group 1-1,text,true,,71984,444,6,6,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,256,0,0
1764043126410,323,POST - Login,200,OK,Booking Thread Group 1-4,text,true,,819,345,6,6,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,323,0,83
1764043126493,492,GET - Search Properties,200,OK,Booking Thread Group 1-2,text,true,,71984,444,6,6,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,321,0,0
1764043127004,333,POST - Login,200,OK,Booking Thread Group 1-5,text,true,,819,345,7,7,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,333,0,89
1764043127140,303,GET - Search Properties,200,OK,Booking Thread Group 1-3,text,true,,71984,444,7,7,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,121,0,0
1764043127707,89,POST - Create Booking,400,Bad Request,Booking Thread Group 1-1,text,false,,387,582,7,7,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/bookings,89,0,0
1764043127601,283,POST - Login,200,OK,Booking Thread Group 1-6,text,true,,819,345,8,8,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,283,0,87
1764043127739,287,GET - Search Properties,200,OK,Booking Thread Group 1-4,text,true,,71984,444,8,8,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,113,0,0
1764043127989,87,POST - Create Booking,400,Bad Request,Booking Thread Group 1-2,text,false,,387,582,8,8,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/bookings,87,0,0
1764043128210,275,POST - Login,200,OK,Booking Thread Group 1-7,text,true,,819,345,9,9,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,275,0,89
1764043128452,87,POST - Create Booking,400,Bad Request,Booking Thread Group 1-3,text,false,,387,582,9,9,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/bookings,87,0,0
1764043128343,299,GET - Search Properties,200,OK,Booking Thread Group 1-5,text,true,,71984,444,9,9,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/properties/search,117,0,0
1764043128802,87,GET - All Bookings,404,Not Found,Booking Thread Group 1-1,text,false,,377,435,9,9,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/bookings,87,0,0
1764043129033,86,POST - Create Booking,400,Bad Request,Booking Thread Group 1-4,text,false,,387,582,10,10,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/bookings,86,0,0
1764043128805,332,POST - Login,200,OK,Booking Thread Group 1-8,text,true,,819,345,10,10,http://k8s-gotour-gotourin-b69db2909a-1119124010.us-east-1.elb.amazonaws.com/auth/login,332,0,94
